"BushJob1.htm | Question 0"
"ABC News/Washington Post Poll. April 17-21, 2013. N=1,000 adults nationwide. Margin of error ± 3.5.        "
"Thinking back to when George W. Bush was in office, would you say you approve or disapprove of the way Bush handled his job as president?"
manually enter poll

highest lowest approval rows
['', 'Highest approval:']
['', '10/8-9/01', '92', '6', '1', '', '']
['.']
['', 'Lowest approval:']
['', '10/8-11/08', '23', '73', '4', '', '']





"BushJob1.htm | Question 1"
"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3."
"Do you approve or disapprove of the way George W. Bush is handling his job as president?"
date,approve,disapprove,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""4/21-23/06""",32,60,8,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 


highest lowest approval rows
['', 'Highest approval:']
['', '9/22-24/06', '42', '55', '3', '', '']
['', '8/18-20/06', '42', '57', '1', '', '']
['', 'Lowest approval:']
['', '11/6-9/08', '24', '76', '1', '', '']
['', '10/3-5/08', '24', '74', '1', '', '']





"BushJob1.htm | Question 2"
"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    "
"Do you approve or disapprove of the job George W. Bush is doing as president?"
date,approve,disapprove,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/13-14/09""",34,58,8,900,3,rv,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""12/9-10/08""",30,65,5,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""11/1-2/08""",26,67,7,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""10/28-29/08""",29,67,4,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
