"clinton-.htm | Question 0"
"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)"
"In general, do you approve or disapprove of the job Bill Clinton is doing as president?"
date,approve,disapprove,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""6/11-13/99""",60,37,3,1022,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""6/4-5/99""",60,35,5,1053,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""5/23-24/99""",53,42,5,1050,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""5/7-9/99 **""",60,35,5,1025,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""4/30 - 5/2/99""",60,36,4,1014,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""4/26-27/99 **""",60,35,5,1073,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""4/13-14/99""",60,36,4,1069,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""4/6-7/99""",59,35,6,1055,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""3/30-31/99""",64,32,4,1078,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""3/19-21/99 **""",64,33,3,1018,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""3/12-14/99""",62,35,3,1025,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""3/5-7/99 **""",68,28,4,1021,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""2/26-28/99""",66,31,3,1013,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
